Date,Details,Amount,Account,Currency,Debit/Credit,Month,Year,Category,Subcategory,is_manual
2024-01-01,INITIAL ACCOUNT BALANCE,4250.0,4829137M033,EUR,Credit,1,2024,Financial,Initial Balance,False
2024-01-01,INTERMARCHE,-277.56,4829137M033,EUR,Debit,1,2024,Food,Groceries,False
2024-01-01,INITIAL ACCOUNT BALANCE,9200.0,6501882C033,EUR,Credit,1,2024,Financial,Initial Balance,False
2024-01-01,INITIAL ACCOUNT BALANCE,1780.0,7712045M033,EUR,Credit,1,2024,Financial,Initial Balance,False
2024-01-02,HOME REPAIR STORE,-503.15,4829137M033,EUR,Debit,1,2024,Housing,Home Repairs,False
2024-01-02,BOOKSTORE PURCHASE,-599.77,4829137M033,EUR,Debit,1,2024,Leisure,Books,False
2024-01-02,TOTAL ENERGIES FUEL,-602.54,4829137M033,EUR,Debit,1,2024,Transport,Fuel,False
2024-01-02,TOTAL ENERGIES FUEL,-636.54,7712045M033,EUR,Debit,1,2024,Transport,Fuel,False
2024-01-03,TOTAL ENERGIES FUEL,-731.11,4829137M033,EUR,Debit,1,2024,Transport,Fuel,False
2024-01-03,DECATHLON PURCHASE,-311.5,6501882C033,EUR,Debit,1,2024,Shopping,Clothes,False
2024-01-03,ONLINE TRAINING COURSE,-816.78,7712045M033,EUR,Debit,1,2024,Education,Training,False
2024-01-03,LOCAL PHARMACY,-789.88,7712045M033,EUR,Debit,1,2024,Health,Pharmacy,False
2024-01-03,BOOKSTORE PURCHASE,-793.47,7712045M033,EUR,Debit,1,2024,Leisure,Books,False
2024-01-04,CITY METRO PASS,-81.56,4829137M033,EUR,Debit,1,2024,Transport,Metro,False
2024-01-04,BOOKSTORE PURCHASE,-579.2,4829137M033,EUR,Debit,1,2024,Leisure,Books,False
2024-01-04,HEALTH INSURANCE REFUND,2309.18,4829137M033,EUR,Credit,1,2024,Health,Insurance Refund,False
2024-01-04,BOOKSTORE PURCHASE,-564.89,6501882C033,EUR,Debit,1,2024,Leisure,Books,False
2024-01-04,ONLINE TRAINING COURSE,-792.2,7712045M033,EUR,Debit,1,2024,Education,Training,False
2024-01-05,APARTMENT RENT,-210.42,4829137M033,EUR,Debit,1,2024,Housing,Rent,False
2024-01-05,ANNUAL BONUS PAYMENT,1564.11,4829137M033,EUR,Credit,1,2024,Income,Bonus,False
2024-01-05,ELECTRONICS STORE,-847.73,4829137M033,EUR,Debit,1,2024,Shopping,Electronics,False
2024-01-05,CITY METRO PASS,-184.46,7712045M033,EUR,Debit,1,2024,Transport,Metro,False
2024-01-05,AUCHAN SUPERMARKET,-496.39,7712045M033,EUR,Debit,1,2024,Food,Groceries,False
2024-01-06,HEALTH INSURANCE REFUND,2760.63,4829137M033,EUR,Credit,1,2024,Health,Insurance Refund,False
2024-01-06,HOME DECOR SHOP,-576.69,6501882C033,EUR,Debit,1,2024,Shopping,Home Decor,False
2024-01-06,MONTHLY BANK FEES,-767.37,7712045M033,EUR,Debit,1,2024,Financial,Bank Fees,False
2024-01-07,HOME DECOR SHOP,-472.59,6501882C033,EUR,Debit,1,2024,Shopping,Home Decor,False
2024-01-07,LOCAL PHARMACY,-260.38,6501882C033,EUR,Debit,1,2024,Health,Pharmacy,False
